FL_DATE,MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,DEP_DEL15,ARR_DELAY,ARR_DEL15,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DEP_HOUR,DEP_PERIOD,ORIGIN_REGION,DEST_REGION,AIRLINE_NAME,DELAY_COST_AIRLINE,DELAY_COST_PASSENGER,DELAY_COST_TOTAL,DISTANCE,AIR_TIME
2024-01-01,1,1,AA,ATL,DFW,1448,9.8,0,12.3,0,,,,,,14,Afternoon,North America,North America,American Airlines,727.16,460.6,1187.76,729,87
2024-01-01,1,1,AA,ATL,LAX,1221,-1.2,0,-8.3,0,,,,,,12,Afternoon,North America,North America,American Airlines,0.0,0.0,0.0,1941,233
2024-01-01,1,1,AA,ATL,MIA,445,1.4,0,0.5,0,,,,,,4,Night,North America,North America,American Airlines,103.88,65.8,169.68,596,72
2024-01-01,1,1,AA,DFW,LAX,2347,4.2,0,4.4,0,,,,,,23,Night,North America,North America,American Airlines,311.64,197.4,509.03999999999996,1231,148
2024-01-01,1,1,AA,DEN,ATL,1107,4.0,0,9.9,0,,,,,,11,Morning,North America,North America,American Airlines,296.8,188.0,484.8,1196,144
2024-01-01,1,1,AA,DEN,LAX,1441,8.6,0,10.2,0,,,,,,14,Afternoon,North America,North America,American Airlines,638.12,404.2,1042.32,860,103
2024-01-01,1,1,AA,DEN,MIA,1639,-0.9,0,5.6,0,,,,,,16,Afternoon,North America,North America,American Airlines,0.0,0.0,0.0,1707,205
2024-01-01,1,1,AA,ORD,DEN,1326,19.7,1,24.4,1,8.2,6.3,6.3,0.7,3.5,13,Afternoon,North America,North America,American Airlines,1461.74,925.9,2387.64,885,106
2024-01-01,1,1,AA,ORD,LAX,713,14.0,0,13.5,0,,,,,,7,Morning,North America,North America,American Airlines,1038.8,658.0,1696.8,1740,209
2024-01-01,1,1,AA,ORD,JFK,2229,-1.8,0,-4.7,0,,,,,,22,Night,North America,North America,American Airlines,0.0,0.0,0.0,738,89
2024-01-01,1,1,AA,LAX,DEN,935,126.4,1,126.2,1,63.8,65.6,40.2,3.6,19.6,9,Morning,North America,North America,American Airlines,9378.88,5940.8,15319.68,860,103
2024-01-01,1,1,AA,LAX,SEA,1534,55.3,1,51.1,1,28.7,25.5,20.1,1.8,5.7,15,Afternoon,North America,North America,American Airlines,4103.26,2599.1,6702.360000000001,954,114
2024-01-01,1,1,AA,JFK,DFW,1316,-4.9,0,1.7,0,,,,,,13,Afternoon,North America,North America,American Airlines,0.0,0.0,0.0,1388,167
2024-01-01,1,1,AA,JFK,DEN,1517,38.3,1,41.1,1,15.0,14.6,7.1,1.0,5.1,15,Afternoon,North America,North America,American Airlines,2841.86,1800.1,4641.96,1621,195
2024-01-01,1,1,AA,JFK,ORD,1245,6.3,0,-0.9,0,,,,,,12,Afternoon,North America,North America,American Airlines,467.46,296.1,763.56,738,89
2024-01-01,1,1,AA,JFK,MIA,1656,1.5,0,-4.6,0,,,,,,16,Afternoon,North America,North America,American Airlines,111.3,70.5,181.8,1091,131
2024-01-01,1,1,AA,SFO,ORD,1534,10.4,0,1.2,0,,,,,,15,Afternoon,North America,North America,American Airlines,771.68,488.8,1260.48,1840,221
2024-01-01,1,1,AA,MIA,ATL,1950,12.5,0,21.7,1,,,,,,19,Evening,North America,North America,American Airlines,927.5,587.5,1515.0,596,72
2024-01-01,1,1,AA,MIA,ORD,1506,-2.0,0,-2.9,0,,,,,,15,Afternoon,North America,North America,American Airlines,0.0,0.0,0.0,1198,144
2024-01-01,1,1,AA,SEA,MIA,1118,8.2,0,1.7,0,,,,,,11,Morning,North America,North America,American Airlines,608.44,385.4,993.84,2719,326
2024-01-01,1,1,DL,ATL,JFK,1711,1.5,0,10.2,0,,,,,,17,Evening,North America,North America,Delta Air Lines,111.3,70.5,181.8,759,91
2024-01-01,1,1,DL,ATL,SFO,1228,12.9,0,8.9,0,,,,,,12,Afternoon,North America,North America,Delta Air Lines,957.18,606.3,1563.48,2133,256
2024-01-01,1,1,DL,ATL,SEA,1644,16.0,1,23.8,1,6.5,5.4,2.6,0.4,3.0,16,Afternoon,North America,North America,Delta Air Lines,1187.2,752.0,1939.2,2176,261
2024-01-01,1,1,DL,DFW,SFO,2230,16.0,1,16.8,1,7.0,6.2,3.7,0.4,2.0,22,Night,North America,North America,Delta Air Lines,1187.2,752.0,1939.2,1460,175
2024-01-01,1,1,DL,DFW,SEA,948,8.9,0,9.4,0,,,,,,9,Morning,North America,North America,Delta Air Lines,660.38,418.3,1078.68,1657,199
2024-01-01,1,1,DL,DEN,LAX,1957,3.7,0,-3.3,0,,,,,,19,Evening,North America,North America,Delta Air Lines,274.54,173.9,448.44000000000005,860,103
2024-01-01,1,1,DL,DEN,MIA,837,11.6,0,10.5,0,,,,,,8,Morning,North America,North America,Delta Air Lines,860.72,545.2,1405.92,1707,205
2024-01-01,1,1,DL,DEN,SEA,726,-8.6,0,-9.4,0,,,,,,7,Morning,North America,North America,Delta Air Lines,0.0,0.0,0.0,1022,123
2024-01-01,1,1,DL,ORD,MIA,1104,-8.6,0,-0.7,0,,,,,,11,Morning,North America,North America,Delta Air Lines,0.0,0.0,0.0,1198,144
2024-01-01,1,1,DL,LAX,DEN,741,5.5,0,3.9,0,,,,,,7,Morning,North America,North America,Delta Air Lines,408.1,258.5,666.6,860,103
2024-01-01,1,1,DL,JFK,SFO,1533,16.0,1,20.4,1,8.3,7.5,5.0,0.6,2.0,15,Afternoon,North America,North America,Delta Air Lines,1187.2,752.0,1939.2,2578,309
2024-01-01,1,1,DL,JFK,SEA,829,-3.4,0,5.4,0,,,,,,8,Morning,North America,North America,Delta Air Lines,0.0,0.0,0.0,2413,290
2024-01-01,1,1,DL,SFO,DFW,1826,12.5,0,20.3,1,,,,,,18,Evening,North America,North America,Delta Air Lines,927.5,587.5,1515.0,1460,175
2024-01-01,1,1,DL,SFO,ORD,1628,6.9,0,-2.1,0,,,,,,16,Afternoon,North America,North America,Delta Air Lines,511.98,324.3,836.28,1840,221
2024-01-01,1,1,DL,SFO,MIA,855,-6.6,0,3.2,0,,,,,,8,Morning,North America,North America,Delta Air Lines,0.0,0.0,0.0,2580,310
2024-01-01,1,1,DL,MIA,JFK,2042,-0.1,0,-4.6,0,,,,,,20,Evening,North America,North America,Delta Air Lines,0.0,0.0,0.0,1091,131
2024-01-01,1,1,DL,SEA,DFW,1735,13.3,0,22.2,1,,,,,,17,Evening,North America,North America,Delta Air Lines,986.86,625.1,1611.96,1657,199
2024-01-01,1,1,DL,SEA,SFO,1248,-4.2,0,-9.7,0,,,,,,12,Afternoon,North America,North America,Delta Air Lines,0.0,0.0,0.0,679,81
2024-01-01,1,1,UA,ATL,DFW,1303,13.2,0,14.4,0,,,,,,13,Afternoon,North America,North America,United Airlines,979.44,620.4,1599.8400000000001,729,87
2024-01-01,1,1,UA,ATL,DEN,913,-8.1,0,-9.1,0,,,,,,9,Morning,North America,North America,United Airlines,0.0,0.0,0.0,1196,144
2024-01-01,1,1,UA,ATL,SFO,1238,11.0,0,4.7,0,,,,,,12,Afternoon,North America,North America,United Airlines,816.2,517.0,1333.2,2133,256
2024-01-01,1,1,UA,DFW,SFO,2147,84.5,1,92.8,1,44.3,28.9,15.7,2.0,7.7,21,Night,North America,North America,United Airlines,6269.9,3971.5,10241.4,1460,175
2024-01-01,1,1,UA,DEN,ATL,1522,38.6,1,43.8,1,11.6,18.7,9.3,1.2,6.1,15,Afternoon,North America,North America,United Airlines,2864.12,1814.2,4678.32,1196,144
2024-01-01,1,1,UA,DEN,ORD,1002,-4.7,0,-11.8,0,,,,,,10,Morning,North America,North America,United Airlines,0.0,0.0,0.0,885,106
2024-01-01,1,1,UA,DEN,SEA,1124,-4.1,0,-3.1,0,,,,,,11,Morning,North America,North America,United Airlines,0.0,0.0,0.0,1022,123
2024-01-01,1,1,UA,LAX,DFW,1511,3.0,0,5.8,0,,,,,,15,Afternoon,North America,North America,United Airlines,222.6,141.0,363.6,1231,148
2024-01-01,1,1,UA,LAX,DEN,354,51.7,1,43.1,1,23.9,9.9,6.5,0.3,7.6,3,Night,North America,North America,United Airlines,3836.14,2429.9,6266.04,860,103
2024-01-01,1,1,UA,LAX,ORD,829,4.8,0,8.2,0,,,,,,8,Morning,North America,North America,United Airlines,356.16,225.6,581.76,1740,209
2024-01-01,1,1,UA,LAX,SEA,1500,16.0,1,14.6,0,6.8,5.8,3.1,0.3,2.5,15,Afternoon,North America,North America,United Airlines,1187.2,752.0,1939.2,954,114
2024-01-01,1,1,UA,JFK,DFW,2033,147.1,1,144.6,1,35.6,52.9,48.4,1.6,17.2,20,Evening,North America,North America,United Airlines,10914.82,6913.7,17828.52,1388,167
2024-01-01,1,1,UA,JFK,DEN,1544,75.0,1,66.9,1,31.1,35.4,21.6,2.6,12.3,15,Afternoon,North America,North America,United Airlines,5565.0,3525.0,9090.0,1621,195
2024-01-01,1,1,UA,JFK,SFO,110,16.0,1,23.9,1,7.5,6.4,3.3,0.6,3.1,1,Night,North America,North America,United Airlines,1187.2,752.0,1939.2,2578,309
2024-01-01,1,1,UA,SFO,ORD,2143,11.6,0,12.9,0,,,,,,21,Night,North America,North America,United Airlines,860.72,545.2,1405.92,1840,221
2024-01-01,1,1,UA,SFO,LAX,2120,16.0,1,12.0,0,4.0,3.6,5.3,0.5,3.0,21,Night,North America,North America,United Airlines,1187.2,752.0,1939.2,338,41
2024-01-01,1,1,UA,MIA,SFO,1822,16.0,1,13.9,0,5.2,7.5,3.4,0.5,3.0,18,Evening,North America,North America,United Airlines,1187.2,752.0,1939.2,2580,310
2024-01-01,1,1,UA,SEA,ATL,928,-1.5,0,7.4,0,,,,,,9,Morning,North America,North America,United Airlines,0.0,0.0,0.0,2176,261
2024-01-01,1,1,UA,SEA,LAX,1651,16.0,1,13.8,0,3.2,4.3,3.5,0.5,1.4,16,Afternoon,North America,North America,United Airlines,1187.2,752.0,1939.2,954,114
2024-01-01,1,1,UA,SEA,SFO,2128,31.2,1,29.4,1,8.4,6.9,5.4,0.6,4.3,21,Night,North America,North America,United Airlines,2315.04,1466.4,3781.44,679,81
2024-01-01,1,1,UA,SEA,MIA,1105,8.8,0,16.1,1,,,,,,11,Morning,North America,North America,United Airlines,652.96,413.6,1066.56,2719,326
2024-01-01,1,1,WN,ATL,DFW,1249,23.8,1,21.4,1,11.6,11.7,8.8,0.5,2.1,12,Afternoon,North America,North America,Southwest Airlines,1765.96,1118.6,2884.56,729,87
2024-01-01,1,1,WN,ATL,DEN,1031,16.0,1,24.9,1,3.7,4.3,3.2,0.5,1.8,10,Morning,North America,North America,Southwest Airlines,1187.2,752.0,1939.2,1196,144
2024-01-01,1,1,WN,ATL,MIA,25,39.7,1,46.9,1,15.6,18.1,8.2,0.5,6.8,0,Night,North America,North America,Southwest Airlines,2945.74,1865.9,4811.639999999999,596,72
2024-01-01,1,1,WN,DFW,LAX,1025,-3.0,0,0.9,0,,,,,,10,Morning,North America,North America,Southwest Airlines,0.0,0.0,0.0,1231,148
2024-01-01,1,1,WN,LAX,ORD,1645,16.0,1,24.5,1,4.9,5.3,4.4,0.4,2.2,16,Afternoon,North America,North America,Southwest Airlines,1187.2,752.0,1939.2,1740,209
2024-01-01,1,1,WN,LAX,MIA,2244,2.9,0,5.6,0,,,,,,22,Night,North America,North America,Southwest Airlines,215.18,136.3,351.48,2336,280
2024-01-01,1,1,WN,LAX,SEA,1842,-6.0,0,-3.8,0,,,,,,18,Evening,North America,North America,Southwest Airlines,0.0,0.0,0.0,954,114
2024-01-01,1,1,WN,JFK,LAX,1806,16.0,1,14.9,0,4.2,5.7,4.1,0.4,2.2,18,Evening,North America,North America,Southwest Airlines,1187.2,752.0,1939.2,2468,296
2024-01-01,1,1,WN,SFO,DEN,626,-7.9,0,-1.3,0,,,,,,6,Morning,North America,North America,Southwest Airlines,0.0,0.0,0.0,964,116
2024-01-01,1,1,WN,MIA,DFW,1728,19.2,1,22.7,1,5.4,8.8,2.9,0.7,2.9,17,Evening,North America,North America,Southwest Airlines,1424.64,902.4,2327.04,1119,134
2024-01-01,1,1,WN,MIA,LAX,710,0.2,0,-0.5,0,,,,,,7,Morning,North America,North America,Southwest Airlines,14.84,9.4,24.240000000000002,2336,280
2024-01-01,1,1,WN,SEA,SFO,817,9.4,0,0.7,0,,,,,,8,Morning,North America,North America,Southwest Airlines,697.48,441.8,1139.28,679,81
